1 of 100 EPOCHS, TEST Loss_CL: 0.070826, Accuracy_CL: 47.600001%
2 of 100 EPOCHS, TEST Loss_CL: 0.071144, Accuracy_CL: 47.600000%
3 of 100 EPOCHS, TEST Loss_CL: 0.071421, Accuracy_CL: 49.600000%
4 of 100 EPOCHS, TEST Loss_CL: 0.070516, Accuracy_CL: 45.600001%
5 of 100 EPOCHS, TEST Loss_CL: 0.070290, Accuracy_CL: 54.000000%
6 of 100 EPOCHS, TEST Loss_CL: 0.070934, Accuracy_CL: 49.200000%
7 of 100 EPOCHS, TEST Loss_CL: 0.070850, Accuracy_CL: 48.800001%
8 of 100 EPOCHS, TEST Loss_CL: 0.069567, Accuracy_CL: 48.800001%
9 of 100 EPOCHS, TEST Loss_CL: 0.069797, Accuracy_CL: 49.199999%
10 of 100 EPOCHS, TEST Loss_CL: 0.069928, Accuracy_CL: 52.800000%
TRAIN Loss_CL: 0.714541, Accuracy_CL: 45.000001%
11 of 100 EPOCHS, TEST Loss_CL: 0.070980, Accuracy_CL: 48.000000%
12 of 100 EPOCHS, TEST Loss_CL: 0.070297, Accuracy_CL: 48.799999%
13 of 100 EPOCHS, TEST Loss_CL: 0.069643, Accuracy_CL: 52.799999%
14 of 100 EPOCHS, TEST Loss_CL: 0.070614, Accuracy_CL: 46.800000%
15 of 100 EPOCHS, TEST Loss_CL: 0.070357, Accuracy_CL: 50.000000%
16 of 100 EPOCHS, TEST Loss_CL: 0.070852, Accuracy_CL: 49.599999%
17 of 100 EPOCHS, TEST Loss_CL: 0.069811, Accuracy_CL: 49.599999%
18 of 100 EPOCHS, TEST Loss_CL: 0.070150, Accuracy_CL: 50.800000%
19 of 100 EPOCHS, TEST Loss_CL: 0.069812, Accuracy_CL: 55.599999%
20 of 100 EPOCHS, TEST Loss_CL: 0.069508, Accuracy_CL: 52.800000%
TRAIN Loss_CL: 0.701749, Accuracy_CL: 55.000002%
21 of 100 EPOCHS, TEST Loss_CL: 0.070877, Accuracy_CL: 45.200000%
22 of 100 EPOCHS, TEST Loss_CL: 0.070354, Accuracy_CL: 47.600000%
23 of 100 EPOCHS, TEST Loss_CL: 0.069946, Accuracy_CL: 48.800000%
24 of 100 EPOCHS, TEST Loss_CL: 0.069262, Accuracy_CL: 54.399999%
25 of 100 EPOCHS, TEST Loss_CL: 0.070542, Accuracy_CL: 50.000000%
26 of 100 EPOCHS, TEST Loss_CL: 0.070069, Accuracy_CL: 51.199999%
27 of 100 EPOCHS, TEST Loss_CL: 0.069976, Accuracy_CL: 49.600001%
28 of 100 EPOCHS, TEST Loss_CL: 0.069605, Accuracy_CL: 55.200000%
29 of 100 EPOCHS, TEST Loss_CL: 0.069757, Accuracy_CL: 47.200000%
30 of 100 EPOCHS, TEST Loss_CL: 0.069906, Accuracy_CL: 48.400000%
TRAIN Loss_CL: 0.696700, Accuracy_CL: 50.000002%
31 of 100 EPOCHS, TEST Loss_CL: 0.069932, Accuracy_CL: 49.600000%
32 of 100 EPOCHS, TEST Loss_CL: 0.069439, Accuracy_CL: 50.400000%
33 of 100 EPOCHS, TEST Loss_CL: 0.068938, Accuracy_CL: 56.000000%
34 of 100 EPOCHS, TEST Loss_CL: 0.069388, Accuracy_CL: 50.400000%
35 of 100 EPOCHS, TEST Loss_CL: 0.069739, Accuracy_CL: 47.600001%
36 of 100 EPOCHS, TEST Loss_CL: 0.068994, Accuracy_CL: 57.200000%
37 of 100 EPOCHS, TEST Loss_CL: 0.069013, Accuracy_CL: 49.600000%
38 of 100 EPOCHS, TEST Loss_CL: 0.069356, Accuracy_CL: 50.800000%
39 of 100 EPOCHS, TEST Loss_CL: 0.069587, Accuracy_CL: 50.800001%
40 of 100 EPOCHS, TEST Loss_CL: 0.069231, Accuracy_CL: 52.800001%
TRAIN Loss_CL: 0.707167, Accuracy_CL: 40.000001%
41 of 100 EPOCHS, TEST Loss_CL: 0.069183, Accuracy_CL: 51.200000%
42 of 100 EPOCHS, TEST Loss_CL: 0.069355, Accuracy_CL: 55.200000%
43 of 100 EPOCHS, TEST Loss_CL: 0.069080, Accuracy_CL: 53.600000%
44 of 100 EPOCHS, TEST Loss_CL: 0.068892, Accuracy_CL: 56.400000%
45 of 100 EPOCHS, TEST Loss_CL: 0.069599, Accuracy_CL: 52.800000%
46 of 100 EPOCHS, TEST Loss_CL: 0.069099, Accuracy_CL: 54.800000%
47 of 100 EPOCHS, TEST Loss_CL: 0.069527, Accuracy_CL: 52.799999%
48 of 100 EPOCHS, TEST Loss_CL: 0.069434, Accuracy_CL: 53.199999%
49 of 100 EPOCHS, TEST Loss_CL: 0.069211, Accuracy_CL: 52.399999%
50 of 100 EPOCHS, TEST Loss_CL: 0.069518, Accuracy_CL: 49.200000%
TRAIN Loss_CL: 0.675325, Accuracy_CL: 65.000001%
51 of 100 EPOCHS, TEST Loss_CL: 0.068808, Accuracy_CL: 56.000001%
52 of 100 EPOCHS, TEST Loss_CL: 0.069104, Accuracy_CL: 51.200000%
53 of 100 EPOCHS, TEST Loss_CL: 0.069290, Accuracy_CL: 55.600000%
54 of 100 EPOCHS, TEST Loss_CL: 0.069355, Accuracy_CL: 48.800001%
55 of 100 EPOCHS, TEST Loss_CL: 0.069173, Accuracy_CL: 51.199999%
56 of 100 EPOCHS, TEST Loss_CL: 0.069492, Accuracy_CL: 53.999999%
57 of 100 EPOCHS, TEST Loss_CL: 0.068643, Accuracy_CL: 55.200000%
58 of 100 EPOCHS, TEST Loss_CL: 0.069057, Accuracy_CL: 54.000000%
59 of 100 EPOCHS, TEST Loss_CL: 0.068947, Accuracy_CL: 55.200000%
60 of 100 EPOCHS, TEST Loss_CL: 0.069478, Accuracy_CL: 51.999999%
TRAIN Loss_CL: 0.712650, Accuracy_CL: 40.000001%
61 of 100 EPOCHS, TEST Loss_CL: 0.068684, Accuracy_CL: 60.000000%
62 of 100 EPOCHS, TEST Loss_CL: 0.068871, Accuracy_CL: 55.600000%
63 of 100 EPOCHS, TEST Loss_CL: 0.069137, Accuracy_CL: 56.000000%
64 of 100 EPOCHS, TEST Loss_CL: 0.068552, Accuracy_CL: 54.400001%
65 of 100 EPOCHS, TEST Loss_CL: 0.068794, Accuracy_CL: 57.599999%
66 of 100 EPOCHS, TEST Loss_CL: 0.068905, Accuracy_CL: 60.400001%
67 of 100 EPOCHS, TEST Loss_CL: 0.068940, Accuracy_CL: 55.600000%
68 of 100 EPOCHS, TEST Loss_CL: 0.069034, Accuracy_CL: 50.000000%
69 of 100 EPOCHS, TEST Loss_CL: 0.068400, Accuracy_CL: 61.200001%
70 of 100 EPOCHS, TEST Loss_CL: 0.069328, Accuracy_CL: 51.600000%
TRAIN Loss_CL: 0.685867, Accuracy_CL: 55.000001%
71 of 100 EPOCHS, TEST Loss_CL: 0.068328, Accuracy_CL: 60.400000%
72 of 100 EPOCHS, TEST Loss_CL: 0.068587, Accuracy_CL: 60.400000%
73 of 100 EPOCHS, TEST Loss_CL: 0.069421, Accuracy_CL: 46.399999%
74 of 100 EPOCHS, TEST Loss_CL: 0.068718, Accuracy_CL: 56.800000%
75 of 100 EPOCHS, TEST Loss_CL: 0.068955, Accuracy_CL: 58.000001%
76 of 100 EPOCHS, TEST Loss_CL: 0.069171, Accuracy_CL: 55.599999%
77 of 100 EPOCHS, TEST Loss_CL: 0.069373, Accuracy_CL: 48.800001%
78 of 100 EPOCHS, TEST Loss_CL: 0.068685, Accuracy_CL: 54.800000%
79 of 100 EPOCHS, TEST Loss_CL: 0.068983, Accuracy_CL: 53.200000%
80 of 100 EPOCHS, TEST Loss_CL: 0.068900, Accuracy_CL: 52.800001%
TRAIN Loss_CL: 0.675436, Accuracy_CL: 75.000001%
81 of 100 EPOCHS, TEST Loss_CL: 0.069424, Accuracy_CL: 50.799999%
82 of 100 EPOCHS, TEST Loss_CL: 0.068914, Accuracy_CL: 57.200000%
83 of 100 EPOCHS, TEST Loss_CL: 0.069013, Accuracy_CL: 53.200000%
84 of 100 EPOCHS, TEST Loss_CL: 0.068816, Accuracy_CL: 58.000001%
85 of 100 EPOCHS, TEST Loss_CL: 0.069306, Accuracy_CL: 50.800000%
86 of 100 EPOCHS, TEST Loss_CL: 0.068913, Accuracy_CL: 60.000000%
87 of 100 EPOCHS, TEST Loss_CL: 0.068651, Accuracy_CL: 59.600000%
88 of 100 EPOCHS, TEST Loss_CL: 0.068862, Accuracy_CL: 56.799999%
89 of 100 EPOCHS, TEST Loss_CL: 0.068559, Accuracy_CL: 60.800000%
90 of 100 EPOCHS, TEST Loss_CL: 0.068875, Accuracy_CL: 51.200001%
TRAIN Loss_CL: 0.682502, Accuracy_CL: 45.000001%
91 of 100 EPOCHS, TEST Loss_CL: 0.068958, Accuracy_CL: 54.000000%
92 of 100 EPOCHS, TEST Loss_CL: 0.069114, Accuracy_CL: 54.000000%
93 of 100 EPOCHS, TEST Loss_CL: 0.069069, Accuracy_CL: 52.400001%
94 of 100 EPOCHS, TEST Loss_CL: 0.068692, Accuracy_CL: 58.000001%
95 of 100 EPOCHS, TEST Loss_CL: 0.068468, Accuracy_CL: 61.200001%
96 of 100 EPOCHS, TEST Loss_CL: 0.068701, Accuracy_CL: 56.800001%
97 of 100 EPOCHS, TEST Loss_CL: 0.069118, Accuracy_CL: 53.599999%
98 of 100 EPOCHS, TEST Loss_CL: 0.068706, Accuracy_CL: 58.800000%
99 of 100 EPOCHS, TEST Loss_CL: 0.068742, Accuracy_CL: 56.400000%
100 of 100 EPOCHS, TEST Loss_CL: 0.068721, Accuracy_CL: 57.600001%
TRAIN Loss_CL: 0.704062, Accuracy_CL: 35.000001%
